campaign_reach_impressions,frequency,media_channels_count,campaign_duration_days,creative_quality,message_clarity,targeting_accuracy,competitive_clutter,season,budget_allocation,market_segment,geographic_coverage,awareness_score
7645293.076,7.515978503,4,122,,Low,Precise,Medium,Special Event,Distributed,Family,Global,89.39145383
540245.0215,6.754811587,4,90,Poor,Low,Precise,Medium,Special Event,Concentrated,Seniors,Local,42.03939929
750492.0967,3.252589469,2,57,Average,Medium,Broad,High,Regular,Concentrated,Youth,Global,67.09336721
276382.2093,10.72529407,1,121,Excellent,High,Broad,High,Holiday,Distributed,Professionals,Local,36.15941523
9834603.866,5.152276046,1,37,Excellent,,Broad,Medium,Special Event,Distributed,Seniors,Local,71.6425918
3438079.431,2.805353974,4,42,Average,Low,Precise,High,Regular,Distributed,Family,Local,61.45655718
5847721.388,4.205430482,2,162,Excellent,Low,Broad,Low,Regular,Distributed,Seniors,National,24.51588975
8668017.78,3.228246873,4,27,Excellent,Low,Broad,High,Holiday,Distributed,Professionals,National,52.90782711
9284607.055,11.05283089,5,36,,Medium,Precise,Medium,Special Event,Concentrated,Professionals,Global,77.61232409
4869038.436,14.69824704,5,169,Excellent,Low,Broad,High,Holiday,Concentrated,Youth,Local,29.23807023
7318504.468,10.48221253,4,111,Poor,Low,Precise,High,Regular,Concentrated,Professionals,Local,
5347148.586,1.870827871,,24,Good,Low,Precise,Medium,Regular,Distributed,Seniors,National,60.52515211
205358.0018,1.67465211,4,,Poor,High,Moderate,Medium,Special Event,Distributed,Youth,Global,70.99534911
9558594.514,2.421138607,1,,Average,High,Precise,High,Holiday,Concentrated,Seniors,Local,33.73783385
9996330.556,3.858105087,1,104,Average,Low,Broad,High,Regular,Concentrated,Seniors,National,21.30692015
9729705.914,2.350080932,5,8,Poor,Low,Moderate,Medium,Regular,,Youth,Global,69.65124809
3813231.161,12.91656321,4,147,Poor,Medium,Broad,,Regular,Concentrated,Professionals,National,42.57030005
4124311.748,14.32302992,3,25,Good,Medium,Broad,Medium,Special Event,,Professionals,Local,94.13185574
1335513.21,7.200986292,1,174,Excellent,High,Moderate,Low,Special Event,Distributed,Family,Local,70.74623561
5944756.873,2.491332518,1,132,Poor,High,Moderate,Low,Holiday,Concentrated,Professionals,Global,30.07582668
751387.2354,8.373461903,3,127,Poor,Medium,Precise,Low,Regular,Concentrated,Professionals,Local,52.74592378
3629833.694,11.08327497,5,47,Excellent,Medium,Broad,Medium,Special Event,Distributed,Youth,Global,95.22794635
507327.2533,,2,91,Good,Medium,Broad,Low,Regular,Distributed,Youth,Global,69.29476771
553752.4204,7.452905924,2,75,Poor,Low,Precise,High,,Distributed,Professionals,Global,80.30780634
3302748.443,7.027474035,2,148,Average,Low,Precise,Medium,,Concentrated,Youth,Regional,81.16738575
2194405.57,8.889254287,4,50,Poor,Low,Broad,,Holiday,Concentrated,Seniors,Regional,99.22931586
6635146.988,8.711267394,5,128,Good,Medium,Moderate,Low,Holiday,Concentrated,Youth,Global,86.23829339
1494287.041,12.11768757,5,34,Poor,High,Precise,High,Special Event,,Professionals,Global,44.07260005
697952.2493,10.43795572,3,154,Average,Low,Precise,Low,Regular,Concentrated,Professionals,Global,87.25222044
,12.13426552,1,130,Good,Medium,,Low,Special Event,Concentrated,Youth,Regional,24.81686006
9444815.305,12.1774341,4,83,,High,Precise,High,Special Event,Concentrated,,Local,26.71708375
3513725.676,4.61969279,2,173,Poor,Low,Broad,Low,Regular,Concentrated,Seniors,Regional,86.54740559
8057550.357,6.39973078,4,116,Good,Medium,Broad,Low,Special Event,Distributed,Family,Global,89.70168486
8208987.321,11.21263419,5,119,Excellent,High,Precise,,Holiday,Distributed,Professionals,Global,49.33389354
1522300.097,2.721071844,1,85,Excellent,High,Moderate,High,Holiday,Distributed,Seniors,Global,61.87572228
1922970.8,5.906947259,3,173,Average,Medium,Precise,Medium,Holiday,Distributed,Youth,Regional,86.66395552
3601620.887,9.063004151,2,173,Excellent,Low,Precise,,Regular,Distributed,Professionals,Global,52.41135549
5232503.857,6.581561525,3,17,Good,Low,Broad,Low,Regular,Distributed,Youth,National,57.66466307
5035438.96,12.31082893,5,133,Excellent,Low,Moderate,Medium,,Distributed,Family,Local,69.44530627
9548009.661,14.55700527,5,31,Poor,Medium,Precise,Low,Regular,Concentrated,Seniors,Regional,81.73607226
6045980.984,9.09358115,1,96,Good,High,Moderate,Low,Regular,Distributed,Youth,Local,84.74645918
2000704.442,11.83498096,5,100,Poor,Medium,Broad,High,,Distributed,Seniors,Regional,72.08943445
1447571.74,3.303791041,3,56,,Medium,Precise,High,Holiday,Distributed,Family,Regional,61.75940516
1989903.635,12.54812758,4,79,Excellent,High,Broad,High,Holiday,Distributed,Youth,National,68.8347368
346055.8919,1.158460141,4,33,Good,High,Broad,,Special Event,Concentrated,Youth,Global,22.13821471
2269211.529,14.6267102,5,146,Good,High,Moderate,Low,Special Event,Concentrated,Youth,National,
7414792.13,1.231380636,2,24,Excellent,High,Broad,Low,Special Event,Distributed,Seniors,Regional,97.3527457
7170114.661,12.03121513,1,115,Poor,Medium,Broad,High,,Distributed,Family,National,22.59761459
5592466.234,2.770031526,,86,Excellent,Medium,Precise,Medium,Special Event,Concentrated,Family,National,44.17677862
2030162.205,7.754874615,4,81,Excellent,High,,Medium,Regular,Concentrated,Family,Local,90.89858979
1992672.243,6.115548964,5,,Poor,Low,Precise,Medium,Regular,Concentrated,Youth,Regional,89.23216095
2714533.877,14.75631315,4,8,Good,High,Precise,High,Holiday,Concentrated,Seniors,Regional,27.35557197
5823390.882,6.981460466,5,145,Average,Low,Moderate,Medium,Special Event,Concentrated,Family,Local,93.81026923
6153062.275,2.486344741,1,124,Good,Medium,Precise,Medium,Regular,Concentrated,Professionals,Local,29.92239451
5046241.261,9.339647202,2,54,Excellent,High,Broad,Medium,Regular,Concentrated,Family,Regional,98.82066263
3590414.068,,5,138,Excellent,Low,Precise,Medium,Regular,Concentrated,Youth,Regional,26.65101223
7798067.868,4.126908569,4,122,Average,Low,Broad,High,Regular,Concentrated,Family,Local,64.24442255
5115653.779,1.354965749,5,104,Good,Low,Moderate,Medium,Holiday,,Seniors,Regional,62.75042362
7188971.17,8.283787699,5,61,Average,High,Broad,High,Holiday,Concentrated,Family,Global,92.88465931
433746.8567,7.611724362,1,169,Good,Low,Precise,High,Regular,Concentrated,Youth,Local,23.04083891
2480940.919,1.088007413,1,141,Excellent,Medium,,High,Holiday,Distributed,Youth,Local,79.35074658
1587489.562,3.108308063,4,32,Poor,High,Moderate,Medium,Special Event,Concentrated,Seniors,National,42.99992776
1812850.873,9.196730239,2,28,Good,Low,Moderate,Medium,Special Event,Concentrated,Youth,Regional,26.50180186
7095418.112,6.715237207,1,58,Average,Low,Moderate,High,Special Event,Concentrated,Seniors,Local,30.96930891
4474879.686,3.123524605,4,,Excellent,Low,Broad,Low,Regular,Concentrated,Professionals,Local,36.37015442
6750540.461,9.028057245,4,40,Average,High,Precise,High,Regular,Distributed,Youth,Regional,76.28799142
1063207.291,14.69875038,3,102,Poor,High,Broad,Low,,Concentrated,Youth,Local,54.23024163
6847235.441,3.925897032,1,71,,Low,Broad,Low,Regular,Concentrated,Seniors,National,
149444.0656,12.27185263,5,10,Poor,Low,Broad,High,Holiday,Concentrated,Family,National,51.86599165
2387772.064,8.795100156,3,124,Good,High,Broad,High,Special Event,Distributed,Family,,50.25243661
1060451.455,11.45189958,1,121,Excellent,Medium,Moderate,High,Regular,Concentrated,Family,National,41.54488002
5044698.06,1.482689354,5,128,Poor,High,Precise,Medium,Regular,Distributed,Family,National,20.36150361
4391351.075,13.21023218,1,133,Excellent,,Precise,High,Special Event,Distributed,Seniors,National,
,14.4030772,2,174,Excellent,High,Broad,High,Special Event,Concentrated,Seniors,Global,68.85015753
5736786.74,13.35858452,4,105,Average,,Broad,High,Special Event,Distributed,Youth,Local,50.08832714
138412.7441,6.941786243,2,168,Good,High,Moderate,Medium,Holiday,,Family,Local,49.90405848
218338.8873,9.202176546,3,102,Good,Low,Precise,Low,Regular,Concentrated,Professionals,Global,
7639456.95,5.844959565,2,119,Good,High,Broad,High,Regular,Concentrated,Seniors,Regional,
13837.13316,4.326758729,2,33,,Medium,Precise,Low,Special Event,Concentrated,Youth,National,97.29166671
9998364.992,4.622832433,3,146,Excellent,Low,Broad,Medium,,Concentrated,Youth,National,84.26090295
2250199.374,2.481793961,4,90,Average,,Moderate,Medium,Regular,Distributed,Youth,Global,78.19094824
719853.8219,3.094481929,1,162,Poor,Medium,Broad,High,Special Event,Concentrated,,Local,97.56260807
7377991.528,12.83989188,5,58,Excellent,Low,Moderate,Low,Holiday,Concentrated,Seniors,National,59.42845339
1355536.276,1.927098076,5,133,Average,Low,Moderate,Low,Special Event,Distributed,Family,Global,80.50540675
2891728.091,6.845113835,3,58,Excellent,Low,,High,Regular,Concentrated,Family,Local,57.71287694
5228889.996,2.292608541,4,48,Average,Medium,Moderate,High,Special Event,Concentrated,Professionals,Regional,30.33716537
,9.834900142,4,71,Average,Medium,Moderate,Low,Holiday,Distributed,Family,Local,37.02463619
659927.5576,6.100695469,3,132,Good,Medium,Moderate,High,Special Event,Distributed,Professionals,Local,77.43322292
7921191.9,13.14159983,5,108,Excellent,Low,Moderate,High,Holiday,Concentrated,Youth,Regional,99.38695798
6685923.11,2.838585348,3,162,Excellent,High,Broad,High,Holiday,Distributed,Professionals,Global,42.15550256
4993427.768,2.262015718,2,,Good,Low,Broad,Medium,Regular,Concentrated,Professionals,National,60.40246833
1520740.909,5.603643589,2,177,Poor,High,Precise,Medium,Regular,Concentrated,Professionals,Regional,23.25086197
3235285.276,,2,76,,High,Moderate,Medium,Holiday,Distributed,Family,Global,
8546670.371,6.446289606,5,63,,Medium,Broad,Low,Special Event,Distributed,Family,National,89.17196869
2443638.437,11.17643231,4,175,Poor,Medium,Precise,Medium,Holiday,Concentrated,Professionals,Local,72.65895156
1438935.692,6.356879744,5,160,Excellent,Medium,Moderate,Low,Regular,Concentrated,Youth,National,73.44618303
,5.912841836,4,83,Average,Medium,Precise,Medium,Regular,Concentrated,Professionals,Regional,78.0622638
6857629.955,8.404518065,2,11,Excellent,Medium,Moderate,High,Special Event,Distributed,Youth,Local,93.39145655
8704539.707,12.59679978,1,104,Good,High,Broad,High,Regular,Concentrated,Professionals,Regional,67.86030565
1121846.366,14.61986274,5,125,Poor,Low,Moderate,Low,Regular,Distributed,Youth,Global,38.88585063
9949559.109,1.423635927,1,26,Average,High,Broad,Medium,Regular,Concentrated,Youth,Regional,20.53946969
8196530.374,5.851178602,4,115,Good,Medium,Precise,Medium,Regular,Distributed,Professionals,Local,91.86620905
2918786.657,3.343111769,4,60,Poor,Medium,Broad,Low,Special Event,Distributed,Seniors,National,50.97927199
200664.5917,,1,95,Average,,Precise,High,Holiday,Distributed,Family,National,37.6859278
670335.9162,11.60068009,,161,Average,Medium,Broad,High,Holiday,Distributed,Professionals,Regional,44.14150743
561810.8293,14.68654158,3,24,Poor,,Moderate,Medium,Holiday,Distributed,Professionals,Global,23.75508318
23046.57646,6.598053214,1,66,Good,High,Precise,Medium,Special Event,,Family,Local,63.42415239
5562748.544,1.650528793,5,164,Excellent,Medium,Moderate,Medium,Holiday,Distributed,Family,Global,70.24801799
6179751.838,11.52157781,,174,Average,High,,Low,Regular,Distributed,Family,Regional,46.62858044
7506422.834,11.74111294,3,75,Average,High,Broad,Low,Special Event,Concentrated,Family,Local,45.5254592
5084095.394,13.78109767,4,145,Excellent,Medium,,High,Regular,,Family,National,54.34256766
9329690.131,1.202203517,3,84,Poor,High,,Medium,Special Event,Concentrated,Youth,Regional,33.11327679
7919849.291,13.47881436,4,97,Average,Medium,Moderate,High,,Distributed,Seniors,Local,39.17546531
9166275.077,7.835993991,2,162,Poor,Medium,Moderate,High,Special Event,Distributed,Family,National,52.52017494
1800187.049,8.696981525,1,13,Poor,Medium,Broad,High,Holiday,Distributed,Seniors,Global,33.75865584
316914.8504,1.889994753,5,87,Average,Medium,Broad,Medium,Regular,Distributed,Seniors,Local,98.44880154
8966506.924,4.934090088,5,141,Good,Low,Broad,Low,Holiday,Distributed,Family,Regional,67.72028728
,7.743238339,5,32,Poor,High,Broad,Low,Holiday,Concentrated,Youth,Local,67.83685578
7974657.15,14.66583151,4,100,Average,Low,Moderate,High,Special Event,Distributed,Professionals,,34.28253418
9200414.816,8.918037543,4,168,Good,Medium,Precise,Low,Special Event,Distributed,Seniors,Global,51.57604891
4919213.843,14.817479,2,106,Poor,Low,Precise,High,Special Event,Concentrated,Seniors,National,53.41221999
3300472.099,13.49050262,5,132,Average,High,Broad,Low,Regular,Concentrated,,Global,51.99824576
4615614.708,,2,75,Excellent,High,Moderate,Low,Regular,Concentrated,Seniors,Local,60.05042974
7361252.689,9.149898848,3,139,Excellent,Low,Broad,High,Holiday,Concentrated,Youth,Regional,58.82647386
86005.38363,7.690864398,3,22,Good,Medium,Precise,Low,Holiday,Concentrated,Seniors,Global,76.01895567
398051.635,13.85990089,1,112,Good,Low,Broad,Low,Holiday,Concentrated,Seniors,Local,88.48277667
9247978.477,8.087559811,,128,Good,Low,Moderate,Medium,Holiday,Concentrated,Youth,Local,94.73392263
2477424.188,1.368103717,2,62,Good,,Moderate,Medium,,Distributed,Seniors,Local,91.35527671
5081224.14,13.9399118,,55,Good,High,Broad,Medium,Holiday,Distributed,Professionals,,88.32866621
4158560.016,2.687395489,1,97,Poor,High,Broad,High,Holiday,Concentrated,Youth,National,62.85961523
1712805.565,14.37397012,1,133,Poor,,,Low,Special Event,Distributed,Professionals,National,97.78534471
2834526.256,2.503228105,4,87,Excellent,Low,Moderate,High,Regular,Distributed,Family,National,42.45830859
3031914.009,5.171891549,1,8,Good,High,Broad,High,,Distributed,,Global,62.9612986
3594574.556,,4,35,Excellent,High,Moderate,Low,Regular,Distributed,Family,Regional,71.44219152
6562595.989,1.047700072,1,74,Poor,Medium,,Low,Regular,Distributed,Seniors,Global,57.00174312
1552285.735,6.685634582,5,130,Average,Low,Broad,High,Special Event,Distributed,Youth,Regional,78.49094385
4166017.438,11.99929531,1,60,Poor,Low,,High,Regular,Concentrated,Professionals,,58.72756192
3556669.841,10.93115962,4,89,Good,Low,Broad,High,Regular,Distributed,Seniors,Local,82.1377214
3530603.169,9.514103431,1,92,Good,High,Precise,Medium,Regular,,Professionals,National,51.51534504
6190558.839,1.287820291,4,75,Poor,High,Broad,Low,Holiday,Concentrated,Seniors,National,68.50271658
4104395.267,12.16783468,,,Poor,Low,Broad,High,Special Event,,Family,Local,91.41851241
8658038.371,4.314540973,2,145,Poor,Low,Precise,Low,Special Event,Concentrated,Family,Regional,40.58874531
9882000.546,6.653849556,5,22,Poor,High,Precise,Medium,Regular,Distributed,Professionals,Global,75.77900528
6267863.501,3.35446849,1,124,Good,Low,Moderate,Medium,Regular,Concentrated,Youth,National,93.68467018
4590637.646,,1,115,Poor,Medium,Moderate,Medium,,Concentrated,Professionals,Regional,72.72773911
2079617.344,7.540287654,3,115,Excellent,High,Moderate,High,Special Event,Concentrated,Seniors,Global,42.87821386
956101.9805,10.71354692,4,24,Good,,Moderate,High,Regular,Distributed,Professionals,Regional,79.9253141
9089532.274,11.43326141,1,98,Average,High,Moderate,Low,,,Youth,Local,88.29912742
9150908.508,14.75801921,,132,Average,Medium,Broad,Medium,Special Event,Concentrated,Family,National,63.24018512
8445765.454,4.109243959,4,43,,Medium,Broad,Medium,Regular,Concentrated,Professionals,Regional,87.16629488
76271.25516,1.262482614,4,136,Average,High,Precise,High,,,Professionals,National,86.91127617
9574294.802,8.886082194,1,63,Average,High,Precise,Medium,Special Event,Distributed,Family,Regional,30.75641205
3114359.415,5.093537709,5,172,Poor,High,Broad,Low,Holiday,Concentrated,Youth,National,89.50851173
5159380.254,10.9400156,4,167,Good,Medium,Broad,,Regular,Distributed,Seniors,Global,96.5218473
6430993.117,13.48360095,2,124,Poor,High,Broad,Low,Special Event,Concentrated,Youth,National,
,10.61704302,5,86,Good,Low,Broad,Medium,Regular,Concentrated,Seniors,National,37.89867883
933466.8032,14.57514866,4,50,Average,Medium,Moderate,Low,Regular,Distributed,Family,Global,44.61047162
7129971.979,,5,114,Excellent,High,Moderate,Low,Holiday,Concentrated,Professionals,Regional,31.89893341
5316404.587,5.166523449,2,89,Excellent,Low,,Medium,Regular,Concentrated,Family,Regional,87.92312806
2883756.426,5.131324922,1,21,Poor,High,Moderate,High,Special Event,Distributed,Seniors,Global,78.04859145
9776466.949,2.986355957,3,141,Excellent,Low,Broad,Medium,Holiday,Concentrated,Professionals,Regional,43.63804553
6521791.632,8.855071847,2,65,Average,Medium,Moderate,Medium,Holiday,Distributed,Seniors,National,43.38845184
5637978.787,12.39824212,,60,Poor,Low,Broad,Medium,Holiday,Concentrated,Seniors,,53.08853004
3601211.373,,1,29,Good,High,Precise,High,Holiday,Concentrated,Seniors,Global,30.33833943
9289535.384,5.457819816,3,,Excellent,Low,Moderate,,Special Event,Concentrated,Professionals,Regional,59.35276375
,12.9825289,4,96,Excellent,High,Precise,High,Regular,Distributed,Professionals,Global,88.23730081
4078266.966,12.82900274,3,158,Average,Low,Broad,Low,Special Event,Distributed,Youth,Global,96.28668727
8987043.726,4.884956238,2,75,,High,Moderate,High,Regular,Distributed,Family,National,81.74707055
674737.9487,3.594028203,5,149,,High,Moderate,Medium,Holiday,Distributed,Youth,Local,48.04948132
1414672.501,6.577753137,1,58,Good,Low,Moderate,High,Special Event,Distributed,Professionals,Regional,79.50234544
1803465.88,3.284227403,2,131,Excellent,Low,Precise,High,Special Event,Distributed,Family,National,75.7639458
4478187.305,3.586999163,5,13,Poor,Low,Broad,Medium,Special Event,Distributed,Seniors,Global,71.10472826
1139690.925,3.137009938,4,72,Good,High,Broad,Low,Special Event,Concentrated,Youth,Regional,96.13245473
7377825.257,2.173222902,5,121,Average,Low,Moderate,Medium,Holiday,Concentrated,Family,Local,97.37683328
4808659.648,14.99051537,1,34,Average,Medium,Broad,High,Holiday,Concentrated,Family,Local,20.58109885
6913520.087,8.617584674,2,87,Good,Medium,Broad,High,,Concentrated,Youth,Local,73.58647411
1262322.815,3.577732162,2,176,Good,Low,Precise,Medium,Holiday,Concentrated,Youth,Regional,32.83607515
4481194.82,2.733844196,5,140,Good,Medium,Broad,Medium,Regular,Distributed,Youth,National,
7913593.124,,3,41,Good,Medium,Precise,Medium,Holiday,Distributed,Family,National,31.88703653
2227122.891,6.50197271,3,159,Excellent,High,Moderate,High,Regular,Concentrated,Family,Regional,54.89297612
6902309.69,2.371638828,1,108,Average,Low,Broad,Medium,Holiday,Distributed,Professionals,Regional,90.78403922
1386897.97,9.633019781,5,7,Excellent,High,Broad,Medium,Special Event,Distributed,,Regional,52.19006565
4720591.112,14.64970966,2,107,Excellent,High,Precise,Medium,Regular,Distributed,Professionals,National,30.26788003
8475001.178,7.851978469,5,66,Good,Medium,Precise,Low,Regular,Distributed,Youth,Global,70.95157143
3935456.869,7.689649716,1,127,Average,Medium,Broad,Medium,Special Event,Concentrated,Youth,Local,90.920595
1385409.06,2.179293197,3,23,Poor,Medium,Moderate,Low,Regular,Distributed,Seniors,Local,79.62419951
4940359.116,14.97716578,4,165,Excellent,High,Moderate,High,Special Event,Distributed,Professionals,National,63.72812393
5510914.663,1.613874547,1,9,Good,Low,Broad,Medium,Holiday,Concentrated,Seniors,Global,74.7798041
3210468.145,5.759881492,1,150,,High,Precise,Medium,Holiday,Distributed,Seniors,Regional,34.29024295
4370846.677,6.762833312,2,135,Excellent,Low,Broad,Low,Holiday,Distributed,Youth,Global,43.68199925
5219710.818,8.289657742,5,165,,High,,High,Regular,Concentrated,Professionals,Regional,78.02861809
9596345.852,5.044885728,,154,Poor,Low,Precise,,Special Event,Concentrated,Seniors,National,57.52970162
1382069.221,5.672470173,3,122,Poor,Low,Moderate,Low,Special Event,Distributed,Seniors,Local,39.57959901
6520643.352,12.05964264,,169,Average,Low,Broad,Medium,Regular,Concentrated,Family,National,61.49077258
6573757.697,7.895980259,5,27,,High,Precise,High,Special Event,Distributed,Seniors,Local,69.60234907
5835815.292,11.85717989,1,30,Average,Low,Broad,Medium,Special Event,Concentrated,Seniors,Global,58.30628075
545606.4455,,1,128,Good,High,Broad,High,Holiday,Concentrated,Professionals,Local,50.1181126
2789211.872,8.10023426,3,89,Excellent,Low,Moderate,Medium,Regular,Distributed,Family,Regional,75.26542273
1435842.917,11.25409758,3,66,Excellent,Medium,Broad,High,Holiday,Distributed,Family,Regional,77.8200661
5795405.655,13.14324876,3,43,Average,High,Precise,Low,Special Event,Concentrated,Youth,Regional,82.78014774
6725984.104,3.038490164,1,41,Good,Low,Moderate,High,Regular,Concentrated,Youth,National,62.62415967
7483350.506,6.132865119,3,126,Poor,Low,Broad,Low,Special Event,Distributed,Professionals,Local,32.99163746
1205474.329,1.092236438,3,20,,High,Precise,High,Special Event,Distributed,Seniors,Local,29.18860079
1823674.571,12.14077716,2,110,,,Moderate,Low,Holiday,Distributed,Professionals,,67.8316873
3489244.389,4.369099539,4,126,Good,Medium,Precise,Low,Holiday,Distributed,Family,Global,
5662186.497,9.59277973,2,148,Average,Low,Precise,,Special Event,Distributed,Professionals,Regional,43.64840325
3474981.15,6.774958756,1,139,Good,Medium,Broad,Medium,Regular,,Family,Regional,91.21916399
7849198.063,,2,130,Average,Low,Moderate,Low,Holiday,Concentrated,Seniors,Local,29.89119235
3914571.696,6.186600374,3,103,Poor,Low,Moderate,Low,Regular,Concentrated,Professionals,Global,60.69314122
7297113.183,4.512491916,2,40,Average,High,Moderate,,Special Event,,Seniors,National,20.43662815
8701588.965,1.924095701,1,46,Good,High,Moderate,Low,Regular,Concentrated,Seniors,Local,55.35356009
9861607.546,8.270368321,5,27,Good,Medium,Precise,Medium,Holiday,Distributed,Professionals,Global,88.56720274
9147717.627,,3,24,Excellent,Low,Precise,High,Special Event,,Youth,National,20.48313421
9050409.183,6.37851158,5,129,Excellent,Medium,Broad,Medium,Holiday,Concentrated,Professionals,Global,83.1621913
745881.3849,4.184874006,5,83,Excellent,Low,Broad,Medium,,Distributed,Youth,National,72.66733688
4329659.02,4.725316235,3,81,Excellent,Low,Precise,Medium,Holiday,Concentrated,Professionals,,31.33879563
5128761.623,10.39975822,3,82,Excellent,High,Precise,High,Regular,Concentrated,,National,31.11388296
8043765.273,5.840156493,5,127,Good,High,Moderate,High,Holiday,Concentrated,Youth,Local,69.07911924
3320074.184,1.414677151,2,7,Excellent,High,Precise,Low,Regular,Distributed,Youth,Global,27.79475248
5581019.585,1.105947326,4,30,Average,High,Broad,,Holiday,Concentrated,Professionals,Global,82.44938629
2632464.543,9.307890506,1,164,,High,Moderate,Low,Holiday,Distributed,Seniors,Local,21.39209774
4690871.43,8.283953304,5,137,Poor,High,Moderate,Medium,Holiday,Distributed,Professionals,,43.44067794
4835151.022,8.433358076,2,153,Good,Low,Broad,,Regular,Concentrated,Professionals,Local,70.12940214
2138014.268,9.357973937,5,149,Excellent,Low,Broad,High,Regular,Concentrated,Youth,Global,41.68826065
502595.984,14.68070968,5,12,Excellent,Medium,Broad,Low,Special Event,,Professionals,National,29.05008301
6263424.741,5.120495684,3,46,Excellent,Low,,High,Special Event,Concentrated,Seniors,National,30.50951549
1501795.486,12.40647189,4,95,Excellent,High,Moderate,High,Regular,Distributed,Professionals,National,60.29580346
5431296.259,1.904067182,3,44,Excellent,Low,Broad,Low,Special Event,Concentrated,Professionals,Global,74.01778203
3951609.97,13.99419211,5,72,Excellent,Low,Moderate,Medium,Holiday,Distributed,Seniors,Regional,76.22598806
,9.675275755,3,,Average,Low,Broad,Low,Special Event,Distributed,Professionals,National,58.59723751
6624706.28,5.382612471,1,73,Average,Low,Precise,Medium,Regular,Distributed,Youth,National,79.24983483
4150861.473,4.642887207,5,174,Average,High,Precise,High,Regular,Concentrated,,National,61.36742867
1620759.429,1.157256092,1,152,Good,Low,Broad,Medium,Special Event,Distributed,Youth,Regional,72.51351125
6736867.736,3.63907471,2,62,Excellent,Medium,Moderate,Low,Regular,Concentrated,Youth,,38.54927358
6373930.244,4.334965354,2,69,Poor,Medium,Broad,Medium,Special Event,Distributed,Professionals,Global,62.69966798
8232224.933,5.545718663,2,97,Poor,Medium,Precise,High,Holiday,,Seniors,National,98.84143298
5946833.29,4.840879714,3,20,Good,Low,Broad,Medium,Special Event,Concentrated,Family,Regional,50.8629158
929883.7224,9.305496975,3,86,Poor,Medium,Moderate,High,Holiday,Distributed,Professionals,Global,56.89107623
,1.449186979,5,148,Good,High,Precise,Medium,Special Event,Concentrated,Professionals,Local,38.72721741
8706005.936,13.70630515,2,74,Average,Low,Broad,Low,Special Event,Distributed,Youth,National,42.12657717
6678308.988,3.382033783,5,141,Excellent,Low,Precise,High,,Distributed,Professionals,National,93.50537555
9367693.158,4.871975946,5,94,Excellent,Medium,Precise,Low,Regular,,Family,Global,30.17977475
1766786.994,12.93826997,3,51,Excellent,Low,Broad,Medium,Holiday,Distributed,Family,Regional,79.99078291
655706.0265,2.532483013,1,47,Poor,High,Broad,High,Regular,Concentrated,Professionals,Regional,24.06136571
2927597.592,11.03160453,4,88,Excellent,Medium,Precise,Low,Regular,Concentrated,Seniors,National,83.00690335
2355219.158,6.074105737,1,14,Excellent,Low,,,Special Event,Distributed,Family,Regional,29.49982845
9925880.022,7.686867312,5,101,Poor,High,Broad,Medium,Special Event,Concentrated,Youth,Local,33.1721853
4164702.129,3.344266707,2,132,Poor,High,Broad,High,Special Event,Concentrated,Youth,Global,58.43291968
5425635.384,1.189920561,5,82,Good,High,Precise,High,Regular,Concentrated,Youth,Global,50.28773478
4237663.825,14.21945043,4,102,,Medium,Moderate,Low,Special Event,Distributed,Professionals,Local,64.64936291
4651119.53,12.33238194,2,131,Good,Low,Moderate,Medium,,Concentrated,,Global,34.23616393
7820060.059,2.075202895,5,,Average,Medium,Moderate,,Special Event,Distributed,Professionals,Regional,20.11246372
472905.4217,6.164800168,3,90,Excellent,Low,Broad,Low,Holiday,Distributed,Family,,31.00654322
9156858.82,5.97850505,3,138,Excellent,Low,Moderate,High,Holiday,Distributed,Seniors,National,42.70446381
8207965.439,6.806012976,2,69,Average,Low,Precise,Low,Special Event,Concentrated,Professionals,Regional,30.06361964
63963.28238,9.369379191,1,83,Poor,,Broad,High,Special Event,Concentrated,Youth,Regional,57.84923202
7444782.124,,4,85,,Medium,Broad,High,Special Event,Concentrated,Professionals,Local,62.02565334
6327458.579,,3,86,Excellent,Low,Broad,Medium,Holiday,,Professionals,National,34.08141491
6586504.51,1.110737062,4,58,Poor,Medium,Moderate,,Holiday,Distributed,Family,,35.65049202
7449564.028,5.37327884,,158,Excellent,Low,Broad,Medium,Special Event,Concentrated,Professionals,National,47.71133286
8176226.959,14.38270657,2,119,Excellent,High,Moderate,High,Special Event,Distributed,Family,Local,26.50684214
6696704.665,8.858196212,5,126,Excellent,Medium,Precise,,Special Event,Distributed,Family,Local,51.31097588
918222.8276,3.445880313,5,153,,High,Broad,Low,Special Event,Distributed,Professionals,National,46.52033119
590620.0891,3.155101761,4,75,Excellent,Low,Moderate,Low,Special Event,Concentrated,Professionals,Regional,42.16390801
6312093.375,4.612023441,5,150,Excellent,Medium,Moderate,High,Special Event,Distributed,Family,Global,50.9304789
9087047.33,6.473389656,4,81,Average,Low,Broad,Medium,Special Event,Distributed,Seniors,Regional,86.69012524
6225084.96,14.71474492,1,64,Good,Low,Moderate,Medium,Special Event,Distributed,Seniors,Global,83.31165486
1992147.093,5.978063602,3,97,Good,,,Low,Special Event,Distributed,Seniors,Regional,70.71012817
5241827.308,6.871558161,,63,Excellent,High,Broad,Low,Holiday,Distributed,Professionals,National,89.45992373
1094383.909,9.221986752,1,143,Poor,Medium,Precise,Medium,Regular,Distributed,Family,Regional,42.28588394
